experiment_name,mutation_type,crossover_type,survivor_method,selection_method,seed,accuracy,fitness,num_features,runtime_seconds
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,42,0.7112227903415802,0.7051005113074221,245,215.34679102897644
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,43,0.7145763639260013,0.7104044418191154,229,195.00643754005432
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,44,0.7205157774328925,0.7198927711181747,200,191.06249380111694
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,45,0.7148359601971919,0.7100666498917584,233,210.42460918426514
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,46,0.7145786282341646,0.7102636225536053,230,205.59551811218262
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,47,0.7143194315467676,0.7096017741063766,233,214.33539390563965
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,48,0.7212916359653119,0.7140196152259235,246,222.36271905899048
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,49,0.7205143122923163,0.7148914524916561,235,213.49308109283447
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,50,0.7303200985853135,0.7245738030124965,229,207.48442840576172
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,51,0.7205152446545011,0.7143208630461939,239,210.10192918777466
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,52,0.7272259880774852,0.7216462464125939,230,217.55030226707458
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,53,0.7264513282964464,0.7170919097525161,257,234.22585773468018
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,54,0.7251602730595812,0.7167871028964803,251,217.9238269329071
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,55,0.7279978507719693,0.7230552085519153,225,207.95309448242188
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,56,0.6983223607623632,0.6953472675432697,232,222.33396410942078
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,57,0.7107077268317321,0.7067798112914161,230,194.51957082748413
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,58,0.7365135141902861,0.7257193056284004,260,201.91172909736633
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,59,0.7223206974282255,0.7203743419711173,208,188.42922711372375
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,60,0.7269633283305442,0.7189812812117755,247,213.69445538520813
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,61,0.7199948533607394,0.7138525108818083,239,221.33773946762085
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,62,0.7274827872621211,0.7191630799644804,249,224.40214228630066
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,63,0.7138038352585281,0.7091377374469611,233,214.67475128173828
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,64,0.7295479695016338,0.7264503154086133,211,211.4392158985138
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,65,0.7254186705793912,0.7184482320928807,241,231.42106342315674
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,66,0.7261939963334192,0.7198603109857916,236,206.2558352947235
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,67,0.7205161770166861,0.7124645593150175,252,223.11098384857178
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,68,0.7024529916305843,0.6990648353246687,232,215.64640426635742
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,69,0.7215499002905241,0.7159663388329003,234,195.25617599487305
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,70,0.7187091259077878,0.7132667847455805,235,198.56711435317993
EXP-C_survivor_elitist,bitflip,uniform,elitist,tournament,71,0.734709659751736,0.7242386937765624,259,217.26927185058594
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,42,0.7313523567185753,0.7257885496181464,227,210.59114813804626
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,43,0.73522312492641,0.7261293838623404,249,190.6917314529419
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,44,0.7197388533436906,0.7190506822950359,201,198.17796897888184
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,45,0.7073529544959303,0.7036176590463372,231,223.3823847770691
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,46,0.7259359983974025,0.7184852557005195,244,205.7909185886383
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,47,0.7197396525112776,0.712908544403007,244,212.03121137619019
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,48,0.7238696174065093,0.7173397985230012,239,214.17485189437866
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,49,0.7140652962540883,0.7078016237715367,244,226.12865781784058
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,50,0.732902209059044,0.7274691310102824,225,194.92729878425598
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,51,0.7171595399565146,0.710300728818006,246,208.96375346183777
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,52,0.7223225621525953,0.7135188773659071,256,215.91767954826355
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,53,0.7367732436560746,0.7279530621476099,246,216.36602210998535
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,54,0.7295479695016338,0.7193074582657561,261,219.01110196113586
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,55,0.727223590574724,0.7202155172315373,240,204.58302187919617
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,56,0.7236137505840583,0.7191095183827954,225,194.69603395462036
EXP-C_survivor_generational,bitflip,uniform,generational,tournament,57,0.7243856132785425,0.718661337664974,233,200.89459252357483
